Protocol,Model,TotalExtracted,TotalGT,Matched,UnmatchedGT,UnmatchedExtracted,Precision,Recall,F1-Score
BGP,gemma3_12b,32,26,17,9,15,0.531,0.654,0.586
BGP,gemma3_27b,88,26,22,4,66,0.25,0.846,0.386
BGP,mistral-small3.1_24b,102,26,22,4,80,0.216,0.846,0.344
BGP,qwen3.5_27b_no_think,66,26,24,2,42,0.364,0.923,0.522
BGP,qwen3.5_9b_no_think,50,26,18,8,32,0.36,0.692,0.474
DCCP,gemma3_12b,16,25,7,18,9,0.438,0.28,0.341
DCCP,gemma3_27b,54,25,9,16,45,0.167,0.36,0.228
DCCP,mistral-small3.1_24b,63,25,19,6,44,0.302,0.76,0.432
DCCP,qwen3.5_27b_no_think,36,25,14,11,22,0.389,0.56,0.459
DCCP,qwen3.5_9b_no_think,16,25,9,16,7,0.562,0.36,0.439
DHCP,gemma3_12b,24,19,7,12,17,0.292,0.368,0.326
DHCP,gemma3_27b,20,19,4,15,16,0.2,0.211,0.205
DHCP,mistral-small3.1_24b,26,19,11,8,15,0.423,0.579,0.489
DHCP,qwen3.5_27b_no_think,27,19,13,6,14,0.481,0.684,0.565
DHCP,qwen3.5_9b_no_think,13,19,7,12,6,0.538,0.368,0.438
FTP,gemma3_12b,51,24,3,21,48,0.059,0.125,0.08
FTP,gemma3_27b,54,24,3,21,51,0.056,0.125,0.077
FTP,mistral-small3.1_24b,386,24,9,15,377,0.023,0.375,0.044
FTP,qwen3.5_27b_no_think,34,24,4,20,30,0.118,0.167,0.138
FTP,qwen3.5_9b_no_think,7,24,0,24,7,0.0,0.0,0.0
IMAP,gemma3_12b,48,11,5,6,43,0.104,0.455,0.169
IMAP,gemma3_27b,53,11,6,5,47,0.113,0.545,0.188
IMAP,mistral-small3.1_24b,145,11,7,4,138,0.048,0.636,0.09
IMAP,qwen3.5_27b_no_think,31,11,6,5,25,0.194,0.545,0.286
IMAP,qwen3.5_9b_no_think,27,11,4,7,23,0.148,0.364,0.211
MQTT,gemma3_12b,39,17,1,16,38,0.026,0.059,0.036
MQTT,gemma3_27b,53,17,3,14,50,0.057,0.176,0.086
MQTT,mistral-small3.1_24b,64,17,6,11,58,0.094,0.353,0.148
MQTT,qwen3.5_27b_no_think,24,17,2,15,22,0.083,0.118,0.098
MQTT,qwen3.5_9b_no_think,5,17,1,16,4,0.2,0.059,0.091
NNTP,gemma3_12b,52,16,1,15,51,0.019,0.062,0.029
NNTP,gemma3_27b,65,16,0,16,65,0.0,0.0,0.0
NNTP,mistral-small3.1_24b,128,16,0,16,128,0.0,0.0,0.0
NNTP,qwen3.5_27b_no_think,67,16,0,16,67,0.0,0.0,0.0
NNTP,qwen3.5_9b_no_think,9,16,0,16,9,0.0,0.0,0.0
POP3,gemma3_12b,18,18,10,8,8,0.556,0.556,0.556
POP3,gemma3_27b,28,18,8,10,20,0.286,0.444,0.348
POP3,mistral-small3.1_24b,31,18,7,11,24,0.226,0.389,0.286
POP3,qwen3.5_27b_no_think,19,18,12,6,7,0.632,0.667,0.649
POP3,qwen3.5_9b_no_think,15,18,10,8,5,0.667,0.556,0.606
PPP,gemma3_12b,27,27,2,25,25,0.074,0.074,0.074
PPP,gemma3_27b,77,27,9,18,68,0.117,0.333,0.173
PPP,mistral-small3.1_24b,75,27,23,4,52,0.307,0.852,0.451
PPP,qwen3.5_27b_no_think,114,27,23,4,91,0.202,0.852,0.326
PPP,qwen3.5_9b_no_think,18,27,9,18,9,0.5,0.333,0.4
PPTP,gemma3_12b,14,19,6,13,8,0.429,0.316,0.364
PPTP,gemma3_27b,32,19,5,14,27,0.156,0.263,0.196
PPTP,mistral-small3.1_24b,18,19,0,19,18,0.0,0.0,0.0
PPTP,qwen3.5_27b_no_think,38,19,2,17,36,0.053,0.105,0.07
PPTP,qwen3.5_9b_no_think,25,19,11,8,14,0.44,0.579,0.5
RTSP,gemma3_12b,39,33,0,33,39,0.0,0.0,0.0
RTSP,gemma3_27b,47,33,0,33,47,0.0,0.0,0.0
RTSP,mistral-small3.1_24b,109,33,16,17,93,0.147,0.485,0.225
RTSP,qwen3.5_27b_no_think,79,33,8,25,71,0.101,0.242,0.143
RTSP,qwen3.5_9b_no_think,15,33,8,25,7,0.533,0.242,0.333
SIP,gemma3_12b,95,20,8,12,87,0.084,0.4,0.139
SIP,gemma3_27b,40,20,0,20,40,0.0,0.0,0.0
SIP,mistral-small3.1_24b,0,20,0,20,0,0.0,0.0,0.0
SIP,qwen3.5_27b_no_think,170,20,19,1,151,0.112,0.95,0.2
SIP,qwen3.5_9b_no_think,21,20,7,13,14,0.333,0.35,0.341
SMTP,gemma3_12b,35,22,0,22,35,0.0,0.0,0.0
SMTP,gemma3_27b,60,22,5,17,55,0.083,0.227,0.122
SMTP,mistral-small3.1_24b,94,22,0,22,94,0.0,0.0,0.0
SMTP,qwen3.5_27b_no_think,19,22,3,19,16,0.158,0.136,0.146
SMTP,qwen3.5_9b_no_think,19,22,0,22,19,0.0,0.0,0.0
TCP,gemma3_12b,12,20,4,16,8,0.333,0.2,0.25
TCP,gemma3_27b,16,20,6,14,10,0.375,0.3,0.333
TCP,mistral-small3.1_24b,32,20,7,13,25,0.219,0.35,0.269
TCP,qwen3.5_27b_no_think,18,20,8,12,10,0.444,0.4,0.421
TCP,qwen3.5_9b_no_think,12,20,7,13,5,0.583,0.35,0.438
